id_ies,nome_ies,organizacao_academica,sistema_de_ensino,categoria_administrativa,situacao_da_ies,UF_PROCESSO,UF_CADASTRO,municipio_processo,municipio_cadastro,uf,PUBLICA_PRIVADA,AMBITO_ADMINISTRATIVO
10604,,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,SC,,Camboriú,,SC,PRIVADA,FEDERAL
10607,INSTITUTO DE POS-GRADUACAO - IPOG,INSTITUIÇÃO ESPECIALMENTE CREDENCIADA PARA OFERTA DE CURSOS LATO SENSU,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,GO,,Goiânia,,GO,PRIVADA,FEDERAL
10613,FACULDADE  FASUP - FASUP,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,PE,PE,Paulista,Paulista,PE,PRIVADA,FEDERAL
10620,FACULDADE DO NORTE DO BRASIL - FANORTE,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,AP,,Macapá,,AP,PRIVADA,FEDERAL
10622,INSTITUTO DE  ENSINO SUPERIOR IREI - IES IREI,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,SC,,Joinville,,SC,PRIVADA,FEDERAL
1063,FACULDADE DOCTUM DE VILA VELHA - DOCTUM,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,ES,ES,Vila Velha,Vila Velha,ES,PRIVADA,FEDERAL
1064,FACULDADE DOCTUM DE VITORIA - DOCTUM,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,ES,ES,Vitória,Vitória,ES,PRIVADA,FEDERAL
1065,FACULDADE DE CIENCIAS ECONOMICAS E ADMINISTRATIVAS DE VILA VELHA -,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,EXTINTA,ES,ES,Vila Velha,Vila Velha,ES,PRIVADA,FEDERAL
1066,INSTITUTO DE ENSINO E PESQUISA OBJETIVO - IEPO,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,EXTINTA,TO,TO,Palmas,Palmas,TO,PRIVADA,FEDERAL
10663,COMUNIDADEWEB - CWB,FACULDADE,ESTADUAL,PRIVADA COM FINS LUCRATIVOS,,SP,,São Paulo,,SP,PRIVADA,ESTADUAL
1067,FACULDADE DE JUSSARA - UNIFAJ,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,GO,GO,Jussara,Jussara,GO,PRIVADA,FEDERAL
1068,FACULDADE ALDETE MARIA ALVES - FAMA,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,MG,MG,Iturama,Iturama,MG,PRIVADA,FEDERAL
10685,FACULDADE MULTIVIX SAO MATEUS - MULTIVIX SÃO MATEUS,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,ES,ES,São Mateus,São Mateus,ES,PRIVADA,FEDERAL
1069,CENTRO REGIONAL DE ESTUDOS EM CIENCIAS HUMANAS - CRECIH,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,MG,,Montes Claros,,MG,PRIVADA,FEDERAL
